description,name
"In one hand the graph isomorphism problem (GI) has received considerable attention due to its unresolved complexity status and is many practical applications. On the other hand a notion of compatible topologies on graphs has emerged from digital topology (see [A. Bretto, Comparability graphs and digital topology, Comput. Vision Graphic Image Process. (Image Understanding), 82 (2001) 33-41; J.M. Chassery, Connectivity and consecutivity in digital pictures, Comput. Vision Graphic Image Process. 9 (1979) 294-300; L.J. Latecki, Topological Connectedness and 8-connectness in digital pictures, CVGIP Image Understanding 57(2) (1993) 261-262; U. Eckhardt, L.J. Latecki, Topologies for digital spaces Z2 and Z3, Comput. Vision Image Understanding 95 (2003) 261-262; T.Y. Kong, R. Kopperman, P.R. Meyer, A topological approach to digital topology, Amer. Math. Monthly Archive 98(12) (1991) 901-917; R. Kopperman, Topological digital topology, Discrete geometry for computer imagery, 11th International Conference, Lecture Notes in Computer Science, Vol. 2886, DGCI 2003, Naples, Italy, November 19-21, pp. 1-15]).In this article we study GI from the topological point of view. Firstly, we explore the poset of compatible topologies on graphs and in particular on bipartite graphs. Then, from a graph we construct a particular compatible Alexandroff topological space said homeomorphic-equivalent to the graph. Conversely, from any Alexandroff topology we construct an isomorphic-equivalent graph on which the topology is compatible. Finally, using these constructions, we show that GI is polynomial-time equivalent to the topological homeomorphism problem (TopHomeo). Hence GI and TopHomeo are in the same class of complexity.",Compatible topologies on graphs: an application to graph isomorphism problem complexity
"This paper reports on a study in which observation, stimulated recall and semi structured interviews were used to report on children's knowledge and understanding of computer processes. It suggests a model for identifying stages in pupils' understanding of these processes with implications for how best to support and develop that understanding. This was a small scale, exploratory case study involving data collection in two schools. The study differentiated between: simple awareness of computer processes; immediate knowledge of how to use an item or carry out a process; ability to offer a simple explanation for a process; and ability to offer a more sophisticated explanation and to use knowledge to solve problems. It was found that all pupils had an awareness of basic input, output and storage devices and a reasonable level of confidence and competence in using the computer. However, children's knowledge tended to be confined to what they had acquired through experience. Interviews with the same pupils over a period of time showed little development in their conceptualisation of computer processes. Some examples of children's common misconceptions as well as partial and appropriate conceptions are given. An implication for the classroom is that more dialogue between teacher and pupil, or more realistically between teacher and groups of pupils, is needed so that the teacher can ascertain prior knowledge and understanding and present accessible explanations for pupils.",An investigation of children's conceptualisation of computers and how they work
"In this paper, we study cross-layer design for congestion control in multihop wireless networks. In previous work, we have developed an optimal cross-layer congestion control scheme that jointly computes both the rate allocation and the stabilizing schedule that controls the resources at the underlying layers. However, the scheduling component in this optimal cross-layer congestion control scheme has to solve a complex global optimization problem at each time, and is hence too computationally expensive for online implementation. In this paper, we study how the performance of cross-layer congestion control will be impacted if the network can only use an imperfect (and potentially distributed) scheduling component that is easier to implement. We study both the case when the number of users in the system is fixed and the case with dynamic arrivals and departures of the users, and we establish performance bounds of cross-layer congestion control with imperfect scheduling. Compared with a layered approach that does not design congestion control and scheduling together, our cross-layer approach has provably better performance bounds, and substantially outperforms the layered approach. The insights drawn from our analyzes also enable us to design a fully distributed cross-layer congestion control and scheduling algorithm for a restrictive interference model.",The impact of imperfect scheduling on cross-layer congestion control in wireless networks
"The lack of adequate training samples and the considerable variations observed in the available image collections due to aging, illumination and pose variations are the two key technical barriers that appearance-based face recognition solutions have to overcome. It is a well-documented fact that their performance deteriorates rapidly when the number of training samples is smaller than the dimensionality of the image space. This is especially true for face recognition applications where only one training sample per subject is available. In this paper, a recognition framework based on the concept of the so-called generic learning is introduced as an attempt to boost the performance of traditional appearance-based recognition solutions in the one training sample application scenario. Different from contemporary approaches, the proposed solution learns the intrinsic properties of the subjects to be recognized using a generic training database which consists of images from subjects other than those under consideration. Many state-of-the-art face recognition solutions can be readily integrated in the proposed framework. A novel multi-learner framework is also proposed to further boost recognition performance. Extensive experimentation reported in the paper suggests that the proposed framework provides a comprehensive solution and achieves lower error recognition rate when considered in the context of one training sample face recognition problem.",On solving the face recognition problem with one training sample per subject
"This work presents a modified version of the evolutionary structural optimization procedure for topology optimization of continuum structures subjected to self-weight forces. Here we present an extension of this procedure to deal with maximum stiffness topology optimization of structures when different combinations of body forces and fixed loads are applied. Body forces depend on the density distribution over the design domain. Therefore, the value and direction of the loading are coupled to the shape of the structure and they change as the material layout of the structure is modified in the course of the optimization process. It will be shown that the traditional calculation of the sensitivity number used in the ESO procedure does not lead to the optimum solution. Therefore, it is necessary to correct the computation of the element sensitivity numbers in order to achieve the optimum design. This paper proposes an original correction factor to compute the sensitivities and enhance the convergence of the algorithm. The procedure has been implemented into a general optimization software and tested in several numerical applications and benchmark examples to illustrate and validate the approach, and satisfactorily applied to the solution of 2D, 3D and shell structures, considering self-weight load conditions. Solutions obtained with this method compare favourably with the results derived using the SIMP interpolation scheme.",An efficient sensitivity computation strategy for the evolutionary structural optimization (ESO) of continuum structures subjected to self-weight loads
"Securing access to data in location-based services and mobile applications requires the definition of spatially aware access-control systems. Even if some approaches have already been proposed either in the context of geographic database systems or context-aware applications, a comprehensive framework, general and flexible enough to deal with spatial aspects in real mobile applications, is still missing. In this paper, we make one step toward this direction and present GEO-RBAC, an extension of the RBAC model enhanced with spatial-and location-based information. In GEORBAC, spatial entities are used to model objects, user positions, and geographically bounded roles. Roles are activated based on the position of the user. Besides a physical position, obtained from a given mobile terminal or a cellular phone, users are also assigned a logical and device-independent position, representing the feature (the road, the town, the region) in which they are located. To enhance flexibility and reusability, we also introduce the concept of role schema, specifying the name of the role, as well as the type of the role spatial boundary and the granularity of the logical position. We then extend GEO-RBAC to support hierarchies, modeling permission, user, and activation inheritance, and separation of duty constraints. The proposed classes of constraints extend the conventional ones to deal with different granularities (schema/instance level) and spatial information. We conclude the paper with an analysis of several properties concerning the resulting model.",GEO-RBAC: A spatially aware RBAC
"In this paper we describe the design of B-spline surface models by means of curves and tangency conditions. The intended application is the conceptual constraint-driven design of surfaces from hand-sketched curves. The solving of generalized curve surface constraints means to find the control points of the surface from one or several curves, incident on the surface, and possibly additional tangency and smoothness conditions. This is accomplished by solving large, and generally under-constrained, and badly conditioned linear systems of equations. For this class of linear systems, no unique solution exists and straight forward methods such as Gaussian elimination, QR-decomposition, or even blindly applied Singular Value Decomposition (SVD) will fail. We propose to use regularization approaches, based on the so-called L-curve. The L-curve, which can be seen as a numerical high frequency filter, helps to determine the regularization parameter such that a numerically stable solution is obtained. Additional smoothness conditions are defined for the surface to filter out aliasing artifacts, which are due to the discrete structure of the piece-wise polynomial structure of the B-spline surface. This leads to a constrained optimization problem, which is solved by Modified Truncated SVD: a L-curve based regularization algorithm which takes into account a user defined smoothing constraint.",Constraint-based design of B-spline surfaces from curves
"Pastiche scenarios draw on fiction as a resource to explore the interior 'felt-life' aspects of user experience and the complex social and cultural issues raised by technological innovations. This paper sets out an approach for their use, outlining techniques for the location of source material and presenting three case studies of pastiche scenario use. The first case study is an evaluation of the Apple iPod that explores the socio-cultural meanings of the technology. The second case study focuses on the participatory design of Net Neighbours, an online shopping system where volunteers shop as intermediaries for older people who do not have access to computers. The third is an in depth consideration of a conceptual design, the 'cambadge' a wearable lightweight web cam which, upon activation broadcasts to police or public websites intended to reduce older people's fear of crime. This design concept is explored in depth in pastiche scenarios of the Miss Marple stories, A Clockwork Orange and Nineteen Eighty-four that reflect on how the device might be experienced not only by users but also by those it is used against. It is argued that pastiche scenarios are a useful complementary method for designers to reason about user experience as well as the broad social and cultural impacts of new technologies.",Pastiche scenarios: Fiction as a resource for user centred design
"Model&dash;based supervision developed by systems analysts has become an acknowledged supervision aid, ensuring early detection of malfunctions and thereby allowing control of the availability and vulnerability of a process facility. However, it is associated with diagnostics of the process itself, and not of the process control situation, which is the veritable subject of supervision. The operator, facility, control triplet determines a complex situation that must be considered from multiple viewpoints beyond knowledge of the single behavioral model usually advocated in process control approaches. Representing different aspects of process control situation from multiple viewpoints notably allows the on line selection of the behavioral models relevant to the observed situation. Given the size of the application, it was essential not only to structure the knowledge required for the supervision system functions into operating system viewpoints, but also to provide a unique representation method for each viewpoint. The systemic approach SAGACE provides this formal representation framework and the methodology adopted to design and implement our industrial prototype relies on it. All these principles are illustrated by a description of an industrial application in the area of nuclear fuel reprocessing&colon; the size and complexity of the facilities and their high degree of computerization make reprocessing particularly well suited for supervision applications.",Supervision applied to nuclear fuel reprocessing
"In this paper, we present an image retrieval technique for specific objects based on salient regions. The salient regions we select are invariant to geometric and photometric variations. Those salient regions are detected based on low level features, and need to be classified into different types before they can be applied on further vision tasks. We first classify the selected regions into four types including blobs, edges and lines, textures, and texture boundaries, by using the correlations with the neigbouring regions. Then, some specific region types are chosen for further object retrieval applications. We observe that regions selected from images of the same object are more similar to each other than regions selected from images of different objects. Correlation is used as the similarity measure between regions selected from different images. Two images are considered to contain the same object, if some regions selected from the first image are highly correlated to some regions selected from the second image. Two data sets are employed for experiment: the first data set contains human face images of a number of different people and is used for testing the retrieval algorithm on distinguishing specific objects of the same category; and the second data set contains images of different objects and is used for testing the retrieval algorithm on distinguishing objects of different categories. The results show that our method is very effective on specific object retrieval.",Specific object retrieval based on salient regions
"The topic of cache performance has been well studied in recent years. Compiler optimizations exist and optimizations have been done for many problems. Much of this work has focused on dense linear algebra problems. At first glance, the Floyd--Warshall algorithm appears to fall into this category. In this paper, we begin by applying two standard cache-friendly optimizations to the Floyd--Warshall algorithm and show limited performance improvements. We then discuss the unidirectional space time representation (USTR). We show analytically that the USTR can be used to reduce the amount of processor-memory traffic by a factor of O(&sqrt;C), where C is the cache size, for a large class of algorithms. Since the USTR leads to a tiled implementation, we develop a tile size selection heuristic to intelligently narrow the search space for the tile size that minimizes total execution time. Using the USTR, we develop a cache-friendly implementation of the Floyd--Warshall algorithm. We show experimentally that this implementation minimizes the level-1 and level-2 cache misses and TLB misses and, therefore, exhibits the best overall performance. Using this implementation, we show a 2x improvement in performance over the best compiler optimized implementation on three different architectures. Finally, we show analytically that our implementation of the Floyd--Warshall algorithm is asymptotically optimal with respect to processor-memory traffic. We show experimental results for the Pentium III, Alpha, and MIPS R12000 machines using problem sizes between 1024 and 2048 vertices. We demonstrate improved cache performance using the Simplescalar simulator.",Cache-Friendly implementations of transitive closure
"This paper presents a family of bitmap algorithms that address the problem of counting the number of distinct header patterns (flows) seen on a high-speed link. Such counting can be used to detect DoS attacks and port scans and to solve measurement problems. Counting is especially hard when processing must be done within a packet arrival time (8 ns at OC-768 speeds) and, hence, may perform only a small number of accesses to limited, fast memory. A naive solution that maintains a hash table requires several megabytes because the number of flows can be above a million. By contrast, our new probabilistic algorithms use little memory and are fast. The reduction in memory is particularly important for applications that run multiple concurrent counting instances. For example, we replaced the port-scan detection component of the popular intrusion detection system Snort with one of our new algorithms. This reduced memory usage on a ten minute trace from 50 to 5.6 MB while maintaining a 99.77% probability of alarming on a scan within 6 s of when the large-memory algorithm would. The best known prior algorithm (probabilistic counting) takes four times more memory on port scan detection and eight times more on a measurement application. This is possible because our algorithms can be customized to take advantage of special features such as a large number of instances that have very small counts or prior knowledge of the likely range of the count.",Bitmap algorithms for counting active flows on high-speed links
